days work middle class filipinos but its more or less week or more of work working class its why people prefer use unsafe transportation regardless its an archipelago middle of two oceans beset by typhoons at least six times year interisland transport always will be difficult most filipinos rarely leave islands they are based much less afford trips like el nido etc which one of reasons why we like watching these videos shows us parts of country we have never been likely never willalso may sound counterintuitive but larger boat lower price comes boats larger than typical filipino outriggers also depends on how many passengers take route regularly fast catamarans are relatively cheaper because they travel routes which have tons of passengers its similar tricycle vs jeepney situation tricycles are more expensive same distance,en,,
very nice place,cs,,
nice see your phil adventure great found good accommodation its shame ferry charged much enjoy your trip,en,,
greedy businessmen do if no compeptitor government dont care,en,,
bohol most backpacker friendly province can visit rent bike look spots yourself anda loboc river carmen etc as price skip crowded beaches they get lot of tour groups there they pay premium,en,,
why most foreigners can afford visit explore our beautiful sceneries compared us who grew up here who are having hard time see beauty of philippines because us its too pricey we need prioritize our basic needs only well off pinoys can afford explore our beautiful islandsthey really charge foreigners with high price because they always think of dollar exchange rate which why most tourists prefer have pinoy tourist guide tourist guide will guide with all right amount of expenses,en,,
hello welcome panglao bohol enjoy your vacation there if dont mind may know name of resort like native house where staying,en,,
its interesting lot of countries they charge locals less than foreigners would be interesting philippines,en,,
first like here,no,,
quick question what camera do use record these videos im looking buy new one one use seems have good quality,en,,
lmfao glad subbed youhttpsyoutubeqohzfclrelk,en,,
piglet on vespa scooter lol nice video snack crates are cool awesome try stuff like,en,,
oh are funny great vlog really enjoyed this,en,,
love your chemistry chocolate pretzels sounded nice but guess they werent lol,en,,
lol loved those one,en,,
need do comedy lol karla cracks me up,en,,
mail me some snack crate goodies hahaha,en,,
loved thisyall are hilariousthe only thought looked good was corn nuts another great snack crate hugs,en,,
love do this thought said uber cake lol,en,,
great video session,it,,
omgosh lmao anytime karla are together hilarious lol back watchingha ha ha,en,,
hi chris what do think of this youtube challenge called tide pod challenge where youtubers eat detergent pods views,en,,
haha love dapat talaga lakad lakad din wag sakay nang sakay ng jeep tapos magrereklamo pag nagtaas ang pamasahe,tl,,
hahaha tama minsan kasi mga pilipino salita lang walang gawa,tl,,
humorstraight forwardnessinformative vids these are things love about this channel thanks chris,en,,
save money,hr,,
no on social media eat lot likes go shopping mahilig mangutang pinoy talaga every new year resolution end nothing change,tl,,
think new years resolutions about discipline will power need surround yourself with positive supportive people,en,,
mahirap magpapayat why kasi most filipinos ay walang disiplina,tl,,
quothow many bloody holidays were there last two monthsquot best line ever chris,en,,
big like ca nu sunteti carnivori clipuri bune sper sa veniti si aici germania,ro,,
thanks both of visiting my beautiful philippines,en,,
wish this was english would capture more audience,en,,
at first was bit confused with blog names travel twos travel although both make gorgeous videos of our islands subscribed both im not be confusedsorry,en,,
ati stat la hue resort spa asa pare sau ma insel,ca,,
romanian language,id,,
welcome philippines,en,,
awesome vid thumbsup,en,,
cum fost din punctul vostru de vedere revelionul acolo fata de alte locuri unde ati mai fost la trecerea dintre ani,ro,,
cum se numeste hotelul,ro,,
visited romania mid s clujnapoca romanians are very nice people mabuhay,en,,
hi guys new sub here where from,en,,
new sub from philippines god bless more power,en,,
hi what camera was this shot on,en,,
russian,fi,,
la multi ani are guys from romania,ro,,
are serbian guys,id,,
la muli ani frumoilor,ro,,
la multi anide unde sunteti din ro,ro,,
hope guys enjoyed your stay,en,,
wow love,en,,
thank this video even though did not understand language where are guys from,en,,
srpska,hr,,
la multi ani,ro,,
la multi ani cu calatorii cat mai multe si placute,ro,,
perdeaua aia de la dus mi se pare complet nefolositoarela multi ani,ro,,
va prins bine anul filipine am observat ca meniul era oarecum american de la curcan si macampcheese pana la hawaiian bread va place orezul jasmine,ro,,
la multi ani,ro,,
la muli ani sper s avei parte de un an plin de experiene faine de mpliniri d,ro,,
happy new year,en,,
imi plac foarte mult clipurile voastre tocmai fiindca nu faceti daily vlog si va axasati strict pe traveling si asta e super tare sfatul meu este sa nu va apucati de daily vlog pentru ca ar scadea mult calitatea ceea ce faceti si vati pierde si autenticitatea mult succes continuare si super tare tot ce ati postat,ro,,
ma uit cu drag la vlogurile voastre si va doresc tot cemi doresc mie un an plin de satisfactii pe toate planurile la multi ani,ro,,
la multi ani,ro,,
la muli ani sper ca s v aduc un bebe simpatic ca voi numai bine,ro,,
la multi ani an plin de experiente placute,ro,,
la multi ani un an plin de calatorii,ro,,
la multi ani un an nou plin de calatorii realizari pe toate planurile si sanatate ca e mai importanta decat toate,ro,,
wrong way of preparing,en,,
all guys are handsome hot,en,,
kinilaw not like sushi except raw fish kinilaw filipino version of ceviche easiest description raw fish cured with citrus vinegar spices,en,,
not way we make kinilaw though,en,,
hahaha para sa demonyo,tl,,
japanese koreans do too only difference filipino style fish meat was cooked by vinegar,en,,
try kinilaw with coconut tuno,en,,
its weird pork cheaper than fish phils has lots of fish,en,,
kinilaw best better than adobo,en,,
shredded fish ginamos na oi haha fermented fish jk,en,,
hahahaha dala dala ung mesa hahaha alak p more galawan ng wasalak,tl,,
need ginger not tomato lol,en,,
my character like unpredictable why philipine rich water,en,,
ready bathe,en,,
pepper or elsevinegar can cook fish,en,,
fresh like sald,no,,
mao kiniang kinilaw,tl,,
wow ilove kinilawnice,pl,,
miss videos like this feels authentic,en,,
actually its not rawthe vinegar will cook fish,en,,
kinilaw nice ulam philippinesbest served with red horse beer,en,,
filipino respects foreigners alot,en,,
as person hus family livelihood related fish industry hav almost tried all types of fish kinilaw me one of da best fishes make kinilaw pandawancobia we tausog tribe partnered with pyuto steamed hydrated cassava with shredded coconut visaya puto balanghoy us kinilaw pyuto heaven,en,,
sex,ca,,
very interesting boys look more mature here brian daniel still look alike,af,,
ung masarap jan ung mga kumakain,tl,,
haha mga palahubog,tl,,
its better cook like adobo ingredientsor fry,en,,
